Construction Materials of the Outer Walls and City/Municipality,Total Occupied Housing Units,Construction Materials of the Roof,Galvanized iron/aluminum,Tile/concrete/clay tile,Half galvanized iron and half concrete,Bamboo/cogon/ nipa/anahaw,Asbestos,Makeshift/ salvaged/ improvised materials,Trapal,Others,Not Reported
,,,,,,,,,,
NATIONAL CAPITAL REGION,,,,,,,,,,
Wood,  327.593 ,  279.929 ,  10.444 ,  28.260 ,  3.704 ,  485 ,  2.079 ,  1.685 ,  1.005 ,  2 
Half concrete/brick/stone and half wood,  611.058 ,  437.499 ,  12.005 ,  159.641 ,  462 ,  340 ,  721 ,  134 ,  256 ,  -   
Galvanized iron/aluminum,  13.269 ,  10.929 ,  457 ,  1.676 ,  119 ,  14 ,  38 ,  16 ,  20 ,  -   
Bamboo/sawali/cogon/nipa,  2.243 ,  622 ,  -   ,  55 ,  1.323 ,  -   ,  63 ,  179 ,1,  -   
Asbestos,  541 ,  459 ,  5 ,  13 ,  -   ,  64 ,  -   ,  -   ,  -   ,  -   
Glass,  182 ,  108 ,  42 ,  24 ,  -   ,  8 ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  8.343 ,  1.901 ,  -   ,  141 ,  33 ,  -   ,  5.472 ,  772 ,  22 ,  2 
Trapal,  3.658 ,  398 ,  -   ,  -   ,  41 ,  -   ,  241 ,  2.971 ,  7 ,  -   
Others,  471 ,  248 ,  10 ,  6 ,  1 ,  -   ,  7 ,  24 ,  175 ,  -   
No walls,  445 ,  106 ,  6 ,  1 ,  -   ,  -   ,  76 ,  177 ,  79 ,  -   
Not Reported,  4.472 ,  3.681 ,  56 ,  301 ,  7 ,  6 ,  15 ,  13 ,  26 ,  367 
CITY OF MANILA,,,,,,,,,,
Total,  409.987 ,  345.286 ,  24.640 ,  34.415 ,  97 ,  146 ,  1.858 ,  3.084 ,  453 ,  8 
Concrete/brick/stone,  210.893 ,  186.250 ,  21.164 ,  3.284 ,  4 ,  55 ,  19 ,  42 ,  75 ,  -   
Wood,  63.024 ,  55.117 ,  1.168 ,  5.510 ,  66 ,  62 ,  222 ,  682 ,  197 ,  -   
Half concrete/brick/stone and half wood,  129.409 ,  101.680 ,  2.239 ,  25.298 ,  4 ,  26 ,  34 ,  60 ,  68 ,  -   
Galvanized iron/aluminum,  1.343 ,  1.065 ,  62 ,  199 ,  -   ,  -   ,  9 ,  6 ,  2 ,  -   
Bamboo/sawali/cogon/nipa,  197 ,  61 ,  -   ,  1 ,  10 ,  -   ,  16 ,  108 ,  1 ,  -   
Asbestos,  355 ,  355 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Glass,  25 ,  25 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  2.144 ,  206 ,  -   ,  20 ,  3 ,  -   ,  1.391 ,  512 ,  12 ,  -   
Trapal,  1.749 ,  84 ,  -   ,  -   ,  5 ,  -   ,  101 ,  1.555 ,  4 ,  -   
Others,  128 ,  61 ,  -   ,  -   ,  -   ,  -   ,  2 ,  7 ,  58 ,  -   
No walls,  233 ,  25 ,  1 ,  -   ,  -   ,  -   ,  63 ,  108 ,  36 ,  -   
Not Reported,  487 ,  357 ,  6 ,  103 ,  5 ,  3 ,  1 ,  4 ,  -   ,  8 
CITY OF MANDALUYONG,,,,,,,,,,
Total,  93.319 ,  81.724 ,  7.284 ,  3.846 ,  39 ,  80 ,  236 ,  38 ,  72 ,  -   
Concrete/brick/stone,  58.117 ,  50.756 ,  6.622 ,  695 ,  5 ,  20 ,  6 ,  -   ,  13 ,  -   
Wood,  11.463 ,  10.487 ,  290 ,  477 ,  15 ,  51 ,  83 ,  10 ,  50 ,  -   
Half concrete/brick/stone and half wood,  22.648 ,  19.573 ,  358 ,  2.655 ,  17 ,  9 ,  30 ,  1 ,  5 ,  -   
Galvanized iron/aluminum,  233 ,  206 ,  10 ,  17 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  2 ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Asbestos,  21 ,  21 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Glass,  10 ,  8 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  119 ,  8 ,  -   ,  -   ,  -   ,  -   ,  105 ,  5 ,  1 ,  -   
Trapal,  34 ,  2 ,  -   ,  -   ,  -   ,  -   ,  12 ,  20 ,  -   ,  -   
Others,  21 ,  16 ,  3 ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   
No walls,  6 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
Not Reported,  645 ,  642 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   
CITY OF MARIKINA,,,,,,,,,,
Total,  95.305 ,  80.597 ,  4.105 ,  10.185 ,  62 ,  95 ,  228 ,  9 ,  24 ,  -   
Concrete/brick/stone,  71.301 ,  66.886 ,  3.473 ,  893 ,  4 ,  33 ,  6 ,  -   ,  6 ,  -   
Wood,  5.647 ,  4.169 ,  211 ,  1.145 ,  30 ,  33 ,  47 ,  3 ,  9 ,  -   
Half concrete/brick/stone and half wood,  17.628 ,  9.346 ,  349 ,  7.868 ,  4 ,  26 ,  32 ,  1 ,  2 ,  -   
Galvanized iron/aluminum,  465 ,  136 ,  72 ,  247 ,  8 ,  -   ,  2 ,  -   ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  23 ,  3 ,  -   ,  3 ,  15 ,  -   ,  2 ,  -   ,  -   ,  -   
Asbestos,  4 ,  1 ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Glass,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  166 ,  17 ,  -   ,  12 ,  -   ,  -   ,  137 ,  -   ,  -   ,  -   
Trapal,  10 ,  2 ,  -   ,  -   ,  1 ,  -   ,  2 ,  5 ,  -   ,  -   
Others,  19 ,  11 ,  -   ,  2 ,  -   ,  -   ,  -   ,  -   ,  6 ,  -   
No walls,  5 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
Not Reported,  37 ,  22 ,  -   ,  15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CITY OF PASIG,,,,,,,,,,
Total,  175.280 ,  149.525 ,  15.344 ,  9.237 ,  446 ,  159 ,  301 ,  145 ,  121 ,  2 
Concrete/brick/stone,  131.172 ,  115.232 ,  14.034 ,  1.749 ,  11 ,  103 ,  6 ,  7 ,  30 ,  -   
Wood,  16.564 ,  14.185 ,  529 ,  1.293 ,  280 ,  28 ,  156 ,  31 ,  62 ,  -   
Half concrete/brick/stone and half wood,  26.197 ,  19.231 ,  745 ,  6.138 ,  30 ,  11 ,  13 ,  8 ,  21 ,  -   
Galvanized iron/aluminum,  785 ,  697 ,  33 ,  39 ,  2 ,  12 ,  -   ,  2 ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  163 ,  40 ,  -   ,  -   ,  121 ,  -   ,  -   ,  2 ,  -   ,  -   
Asbestos,  9 ,  4 ,  -   ,  -   ,  -   ,  5 ,  -   ,  -   ,  -   ,  -   
Glass,  8 ,  7 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  175 ,  43 ,  -   ,  3 ,  -   ,  -   ,  124 ,  5 ,  -   ,  -   
Trapal,  111 ,  16 ,  -   ,  -   ,  2 ,  -   ,  2 ,  90 ,  1 ,  -   
Others,  9 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   
No walls,  4 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   
Not Reported,  83 ,  61 ,  2 ,  15 ,  -   ,  -   ,  -   ,  -   ,  3 ,  2 
QUEZON CITY,,,,,,,,,,
Total,  660.249 ,  585.900 ,  26.414 ,  43.092 ,  574 ,  794 ,  2.146 ,  695 ,  319 ,  315 
Concrete/brick/stone,  449.577 ,  420.300 ,  22.743 ,  5.648 ,  37 ,  647 ,  76 ,  21 ,  105 ,  -   
Wood,  60.343 ,  52.958 ,  1.946 ,  4.199 ,  359 ,  49 ,  433 ,  276 ,  121 ,  2 
Half concrete/brick/stone and half wood,  143.187 ,  108.333 ,  1.655 ,  32.745 ,  38 ,  74 ,  266 ,  28 ,  48 ,  -   
Galvanized iron/aluminum,  2.742 ,  2.317 ,  26 ,  363 ,  21 ,  2 ,  10 ,  1 ,  2 ,  -   
Bamboo/sawali/cogon/nipa,  213 ,  81 ,  -   ,  8 ,  110 ,  -   ,  3 ,  11 ,  -   ,  -   
Asbestos,  71 ,  38 ,  5 ,  8 ,  -   ,  20 ,  -   ,  -   ,  -   ,  -   
Glass,  42 ,  31 ,  9 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  1.976 ,  526 ,  -   ,  39 ,  6 ,  -   ,  1.302 ,  99 ,  4 ,  -   
Trapal,  343 ,  70 ,  -   ,  -   ,  1 ,  -   ,  37 ,  234 ,  1 ,  -   
Others,  87 ,  60 ,  1 ,  -   ,  -   ,  -   ,  3 ,  3 ,  20 ,  -   
No walls,  35 ,  13 ,  1 ,  -   ,  -   ,  -   ,  5 ,  14 ,  2 ,  -   
Not Reported,  1.633 ,  1.173 ,  28 ,  80 ,  2 ,  2 ,  11 ,  8 ,  16 ,  313 
CITY OF SAN JUAN,,,,,,,,,,
Total,  26.768 ,  23.216 ,  2.131 ,  1.397 ,  -   ,  -   ,  20 ,  3 ,  -   ,  1 
Concrete/brick/stone,  16.674 ,  14.542 ,  1.920 ,  212 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Wood,  2.729 ,  2.349 ,  106 ,  274 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Half concrete/brick/stone and half wood,  6.586 ,  5.590 ,  103 ,  893 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Galvanized iron/aluminum,  46 ,  26 ,  2 ,  18 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Asbestos,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Glass,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  19 ,  -   ,  -   ,  -   ,  -   ,  -   ,  19 ,  -   ,  -   ,  -   
Trapal,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  2 ,  -   ,  -   
Others,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
No walls,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  711 ,  709 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   ,  1 
CALOOCAN CITY,,,,,,,,,,
Total,  353.357 ,  300.885 ,  18.750 ,  31.050 ,  459 ,  530 ,  1.077 ,  299 ,  306 ,  1 
Concrete/brick/stone,  268.805 ,  247.460 ,  15.946 ,  4.703 ,  22 ,  502 ,  71 ,  13 ,  88 ,  -   
Wood,  23.826 ,  18.941 ,  1.213 ,  2.977 ,  221 ,  18 ,  187 ,  123 ,  146 ,  -   
Half concrete/brick/stone and half wood,  57.542 ,  32.545 ,  1.526 ,  23.226 ,  38 ,  6 ,  143 ,  7 ,  51 ,  -   
Galvanized iron/aluminum,  1.590 ,  1.372 ,  65 ,  103 ,  26 ,  -   ,  8 ,  2 ,  14 ,  -   
Bamboo/sawali/cogon/nipa,  292 ,  120 ,  -   ,  9 ,  145 ,  -   ,  1 ,  17 ,  -   ,  -   
Asbestos,  15 ,  11 ,  -   ,  -   ,  -   ,  4 ,  -   ,  -   ,  -   ,  -   
Glass,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  955 ,  250 ,  -   ,  20 ,  3 ,  -   ,  647 ,  34 ,  1 ,  -   
Trapal,  188 ,  61 ,  -   ,  -   ,  4 ,  -   ,  20 ,  103 ,  -   ,  -   
Others,  36 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5 ,  -   
No walls,  8 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
Not Reported,  99 ,  86 ,  -   ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 
CITY OF MALABON,,,,,,,,,,
Total,  81.724 ,  69.764 ,  3.389 ,  7.342 ,  557 ,  56 ,  456 ,  128 ,  32 ,  -   
Concrete/brick/stone,  42.482 ,  39.324 ,  2.617 ,  479 ,  6 ,  29 ,  5 ,  4 ,  18 ,  -   
Wood,  16.027 ,  13.528 ,  369 ,  1.444 ,  474 ,  6 ,  156 ,  47 ,  3 ,  -   
Half concrete/brick/stone and half wood,  21.683 ,  15.926 ,  395 ,  5.258 ,  36 ,  16 ,  49 ,  2 ,  1 ,  -   
Galvanized iron/aluminum,  889 ,  760 ,  4 ,  113 ,  8 ,  -   ,  2 ,  2 ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  60 ,  22 ,  -   ,  2 ,  31 ,  -   ,  1 ,  4 ,  -   ,  -   
Asbestos,  8 ,  3 ,  -   ,  -   ,  -   ,  5 ,  -   ,  -   ,  -   ,  -   
Glass,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  375 ,  91 ,  -   ,  32 ,  2 ,  -   ,  237 ,  10 ,  3 ,  -   
Trapal,  115 ,  50 ,  -   ,  -   ,  -   ,  -   ,  6 ,  59 ,  -   ,  -   
Others,  19 ,  8 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  7 ,  -   
No walls,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  61 ,  47 ,  -   ,  14 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CITY OF NAVOTAS,,,,,,,,,,
Total,  56.260 ,  49.299 ,  2.563 ,  3.595 ,  288 ,  24 ,  148 ,  316 ,  27 ,  -   
Concrete/brick/stone,  31.709 ,  28.556 ,  2.342 ,  798 ,  3 ,  2 ,  3 ,  2 ,  3 ,  -   
Wood,  13.101 ,  12.218 ,  82 ,  421 ,  211 ,  18 ,  24 ,  117 ,  10 ,  -   
Half concrete/brick/stone and half wood,  10.819 ,  8.304 ,  138 ,  2.364 ,  2 ,  4 ,  7 ,  -   ,  -   ,  -   
Galvanized iron/aluminum,  103 ,  95 ,  1 ,  3 ,  3 ,  -   ,  -   ,  1 ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  130 ,  37 ,  -   ,  1 ,  67 ,  -   ,  5 ,  20 ,  -   ,  -   
Asbestos,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Glass,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  149 ,  31 ,  -   ,  1 ,  1 ,  -   ,  99 ,  17 ,  -   ,  -   
Trapal,  184 ,  15 ,  -   ,  -   ,  1 ,  -   ,  10 ,  158 ,  -   ,  -   
Others,  21 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  14 ,  -   
No walls,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  40 ,  33 ,  -   ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CITY OF VALENZUELA,,,,,,,,,,
Total,  147.161 ,  122.386 ,  12.074 ,  12.236 ,  174 ,  19 ,  197 ,  64 ,  11 ,  -   
Concrete/brick/stone,  113.301 ,  100.050 ,  10.890 ,  2.322 ,  6 ,  17 ,  5 ,  6 ,  5 ,  -   
Wood,  12.027 ,  10.619 ,  272 ,  989 ,  60 ,  2 ,  55 ,  28 ,  2 ,  -   
Half concrete/brick/stone and half wood,  20.472 ,  10.797 ,  825 ,  8.818 ,  12 ,  -   ,  15 ,  3 ,  2 ,  -   
Galvanized iron/aluminum,  886 ,  697 ,  86 ,  95 ,  7 ,  -   ,  -   ,  -   ,  1 ,  -   
Bamboo/sawali/cogon/nipa,  116 ,  23 ,  -   ,  5 ,  87 ,  -   ,  1 ,  -   ,  -   ,  -   
Asbestos,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Glass,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  206 ,  80 ,  -   ,  4 ,  2 ,  -   ,  116 ,  4 ,  -   ,  -   
Trapal,  34 ,  7 ,  -   ,  -   ,  -   ,  -   ,  5 ,  22 ,  -   ,  -   
Others,  4 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
No walls,  2 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   
Not Reported,  111 ,  107 ,  1 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CITY OF LAS PIÑAS,,,,,,,,,,
Total,  137.897 ,  121.676 ,  5.823 ,  8.739 ,  812 ,  139 ,  433 ,  196 ,  78 ,  1 
Concrete/brick/stone,  102.353 ,  95.634 ,  5.015 ,  1.544 ,  38 ,  100 ,  3 ,  13 ,  6 ,  -   
Wood,  16.335 ,  13.805 ,  595 ,  1.245 ,  479 ,  16 ,  90 ,  37 ,  68 ,  -   
Half concrete/brick/stone and half wood,  17.358 ,  11.245 ,  187 ,  5.837 ,  32 ,  21 ,  28 ,  7 ,  1 ,  -   
Galvanized iron/aluminum,  884 ,  756 ,  25 ,  76 ,  23 ,  -   ,  4 ,  -   ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  339 ,  81 ,  -   ,  8 ,  229 ,  -   ,  12 ,  9 ,  -   ,  -   
Asbestos,  3 ,  2 ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Glass,  13 ,  9 ,  1 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  367 ,  63 ,  -   ,  3 ,  8 ,  -   ,  287 ,  6 ,  -   ,  -   
Trapal,  130 ,  16 ,  -   ,  -   ,  3 ,  -   ,  7 ,  104 ,  -   ,  -   
Others,  13 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 ,  -   
No walls,  34 ,  11 ,  -   ,  1 ,  -   ,  -   ,  2 ,  20 ,  -   ,  -   
Not Reported,  68 ,  44 ,  -   ,  22 ,  -   ,  1 ,  -   ,  -   ,  -   ,  1 
CITY OF MAKATI,,,,,,,,,,
Total,  148.430 ,  113.539 ,  24.048 ,  10.219 ,  76 ,  154 ,  145 ,  160 ,  86 ,  3 
Concrete/brick/stone,  114.232 ,  89.704 ,  22.716 ,  1.665 ,  -   ,  130 ,  1 ,  2 ,  14 ,  -   
Wood,  9.183 ,  7.784 ,  323 ,  925 ,  31 ,  13 ,  24 ,  18 ,  65 ,  -   
Half concrete/brick/stone and half wood,  24.279 ,  15.694 ,  984 ,  7.578 ,  4 ,  -   ,  12 ,  7 ,  -   ,  -   
Galvanized iron/aluminum,  329 ,  276 ,  9 ,  41 ,  1 ,  -   ,  -   ,  2 ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  27 ,  3 ,  -   ,  -   ,  20 ,  -   ,  3 ,  1 ,  -   ,  -   
Asbestos,  5 ,  2 ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Glass,  28 ,  7 ,  13 ,  -   ,  -   ,  8 ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  124 ,  16 ,  -   ,  -   ,  -   ,  -   ,  93 ,  15 ,  -   ,  -   
Trapal,  136 ,  2 ,  -   ,  -   ,  20 ,  -   ,  11 ,  103 ,  -   ,  -   
Others,  14 ,  4 ,  2 ,  3 ,  -   ,  -   ,  -   ,  1 ,  4 ,  -   
No walls,  19 ,  4 ,  -   ,  -   ,  -   ,  -   ,  1 ,  11 ,  3 ,  -   
Not Reported,  54 ,  43 ,  1 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 
CITY OF MUNTINLUPA,,,,,,,,,,
Total,  115.515 ,  96.576 ,  7.926 ,  8.975 ,  1.072 ,  104 ,  390 ,  314 ,  156 ,  2 
Concrete/brick/stone,  77.579 ,  68.466 ,  7.173 ,  1.784 ,  33 ,  74 ,  5 ,  5 ,  39 ,  -   
Wood,  16.442 ,  13.478 ,  431 ,  1.572 ,  641 ,  19 ,  124 ,  69 ,  108 ,  -   
Half concrete/brick/stone and half wood,  19.598 ,  13.678 ,  307 ,  5.431 ,  127 ,  5 ,  46 ,  4 ,  -   ,  -   
Galvanized iron/aluminum,  866 ,  676 ,  8 ,  173 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  375 ,  94 ,  -   ,  6 ,  257 ,  -   ,  11 ,  7 ,  -   ,  -   
Asbestos,  13 ,  5 ,  -   ,  2 ,  -   ,  6 ,  -   ,  -   ,  -   ,  -   
Glass,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  304 ,  64 ,  -   ,  3 ,  2 ,  -   ,  199 ,  36 ,  -   ,  -   
Trapal,  214 ,  22 ,  -   ,  -   ,  2 ,  -   ,  5 ,  185 ,  -   ,  -   
Others,  10 ,  2 ,  -   ,  -   ,  1 ,  -   ,  -   ,  2 ,  5 ,  -   
No walls,  15 ,  7 ,  1 ,  -   ,  -   ,  -   ,  -   ,  6 ,  1 ,  -   
Not Reported,  96 ,  81 ,  6 ,  4 ,  -   ,  -   ,  -   ,  -   ,  3 ,  2 
CITY OF PARAÑAQUE,,,,,,,,,,
Total,  159.587 ,  133.074 ,  11.422 ,  13.601 ,  354 ,  159 ,  582 ,  149 ,  229 ,  17 
Concrete/brick/stone,  100.847 ,  88.055 ,  9.723 ,  2.910 ,  6 ,  126 ,  11 ,  8 ,  8 ,  -   
Wood,  22.158 ,  18.792 ,  1.058 ,  1.767 ,  180 ,  12 ,  173 ,  41 ,  135 ,  -   
Half concrete/brick/stone and half wood,  34.787 ,  25.246 ,  607 ,  8.789 ,  79 ,  5 ,  22 ,  1 ,  38 ,  -   
Galvanized iron/aluminum,  864 ,  751 ,  12 ,  99 ,  1 ,  -   ,  1 ,  -   ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  124 ,  28 ,  -   ,  7 ,  85 ,  -   ,  4 ,  -   ,  -   ,  -   
Asbestos,  26 ,  7 ,  -   ,  3 ,  -   ,  16 ,  -   ,  -   ,  -   ,  -   
Glass,  43 ,  11 ,  15 ,  17 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  471 ,  104 ,  -   ,  1 ,  2 ,  -   ,  352 ,  10 ,  -   ,  2 
Trapal,  111 ,  12 ,  -   ,  -   ,  1 ,  -   ,  9 ,  88 ,  1 ,  -   
Others,  65 ,  15 ,  -   ,  -   ,  -   ,  -   ,  2 ,  1 ,  47 ,  -   
No walls,  17 ,  12 ,  -   ,  -   ,  -   ,  -   ,  5 ,  -   ,  -   ,  -   
Not Reported,  74 ,  41 ,  7 ,  8 ,  -   ,  -   ,  3 ,  -   ,  -   ,  15 
PASAY CITY,,,,,,,,,,
Total,  101.557 ,  83.086 ,  6.153 ,  11.949 ,  -   ,  -   ,  95 ,  240 ,  34 ,  -   
Concrete/brick/stone,  54.146 ,  47.787 ,  4.644 ,  1.712 ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   
Wood,  14.093 ,  11.579 ,  696 ,  1.793 ,  -   ,  -   ,  8 ,  17 ,  -   ,  -   
Half concrete/brick/stone and half wood,  32.635 ,  23.409 ,  800 ,  8.419 ,  -   ,  -   ,  7 ,  -   ,  -   ,  -   
Galvanized iron/aluminum,  197 ,  159 ,  13 ,  25 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Bamboo/sawali/cogon/nipa,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Asbestos,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Glass,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Makeshift/salvaged/improvised materials,  186 ,  98 ,  -   ,  -   ,  -   ,  -   ,  77 ,  11 ,  -   ,  -   
Trapal,  201 ,  11 ,  -   ,  -   ,  -   ,  -   ,  3 ,  187 ,  -   ,  -   
Others,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7 ,  -   ,  -   
No walls,  47 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  15 ,  32 ,  -   
