,name,poverty-inc,cov,conf-int-lowerlimit,conf-int-upper-limit,year
38,Alicia (IA),"17,2","11,8","13,8","20,5",2009
39,Alicia (ZS),"54,0","11,6","43,6","64,3",2009
40,Alilem,"27,4","8,6","23,5","31,3",2009
41,Alimodian,"30,4","13,2","23,8","37,0",2009
42,Alitagtag,"8,6","17,0","6,2","11,1",2009
43,Allacapan,"21,2","12,4","16,9","25,5",2009
44,Allen,"31,5","8,3","27,2","35,8",2009
45,Almagro,"39,5","8,7","33,8","45,1",2009
46,Almeria,"26,8","13,0","21,1","32,5",2009
47,Aloguinsan,"49,4","9,9","41,3","57,4",2009
48,Aloran,"42,7","6,9","37,9","47,5",2009
49,Altavas,"48,9","9,4","41,3","56,4",2009
50,Alubijid,"53,7","7,4","47,2","60,2",2009
51,Amadeo,"6,3","19,2","4,3","8,2",2009
52,Amai Manabilang,"37,8","16,6","27,4","48,1",2009
53,Ambaguio,"15,5","25,1","9,1","21,9",2009
54,Amlan,"24,1","20,3","16,1","32,2",2009
55,Ampatuan,"51,9","11,9","41,7","62,1",2009
56,Amulung,"27,9","7,5","24,4","31,3",2009
57,Anahawan,"29,7","12,5","23,6","35,8",2009
58,Anao,"18,0","18,1","12,6","23,3",2009
59,Anda (BL),"49,6","8,5","42,7","56,5",2009
60,Anda (PS),"25,9","8,0","22,5","29,3",2009
61,Angadanan,"18,9","9,4","16,0","21,8",2009
62,Angat,"7,8","24,9","4,6","10,9",2009
63,Angeles,"5,0","22,4","3,2","6,9",2009
64,Angono,"2,4","49,4","0,5","4,4",2009
65,Anilao,"31,5","14,2","24,1","38,9",2009
66,Anini-Y,"45,4","8,9","38,8","52,1",2009
67,Antequera,"36,8","8,4","31,7","41,9",2009
68,Antipas,"30,9","14,9","23,3","38,4",2009
69,Antipolo,"3,6","29,3","1,8","5,3",2009
70,Apalit,"9,1","22,7","5,7","12,5",2009
71,Aparri,"15,4","11,2","12,6","18,3",2009
72,Araceli,"35,1","16,5","25,5","44,6",2009
73,Arakan,"48,0","9,8","40,3","55,8",2009
74,Arayat,"8,7","18,3","6,1","11,3",2009
75,Argao,"43,6","5,4","39,7","47,4",2009
76,Aringay,"26,0","13,4","20,3","31,7",2009
77,Aritao,"16,2","13,1","12,7","19,7",2009
78,Aroroy,"45,5","7,0","40,3","50,8",2009
79,Arteche,"55,8","8,1","48,3","63,2",2009
80,Asingan,"20,4","10,0","17,0","23,7",2009
81,Asipulo,"47,5","19,5","32,2","62,8",2009
82,Asturias,"44,2","7,9","38,5","49,9",2009
83,Asuncion,"41,0","10,2","34,1","47,9",2009
84,Atimonan,"12,7","11,1","10,4","15,0",2009
85,Atok,"39,7","24,9","23,4","56,0",2009
86,Aurora (IA),"16,4","11,9","13,2","19,6",2009
87,Aurora (ZR),"31,5","12,7","24,9","38,1",2009
88,Ayungon,"51,6","7,2","45,5","57,7",2009
89,Baao,"37,4","9,0","31,8","42,9",2009
90,Babatngon,"38,6","8,0","33,5","43,7",2009
91,Bacacay,"40,1","6,0","36,2","44,0",2009
92,Bacarra,"13,2","11,7","9,4","17,0",2009
93,Baclayon,"23,9","11,3","19,4","28,3",2009
94,Bacnotan,"21,1","8,4","18,2","24,0",2009
95,Baco,"44,5","8,8","38,0","50,9",2009
96,Bacolod (LN),"40,2","11,7","32,5","48,0",2009
97,Bacolod (NO),"11,2","18,2","7,8","14,5",2009
98,Bacolod-Kalawi,"29,4","13,9","22,7","36,1",2009
99,Bacolor,"6,2","28,3","3,3","9,1",2009
100,Bacong,"20,8","11,9","16,7","24,8",2009
101,Bacoor,"3,6","17,1","2,6","4,6",2009
102,Bacuag,"50,6","10,7","41,7","59,5",2009
103,Bacungan Leon B. Postigo,"66,0","9,4","55,7","76,2",2009
104,Badian,"53,5","5,9","48,2","58,7",2009
105,Badiangan,"18,5","15,8","13,7","23,3",2009
106,Badoc,"19,6","11,3","17,2","21,9",2009
107,Bagabag,"13,4","16,2","9,8","16,9",2009
108,Bagac,"19,7","16,8","14,2","25,1",2009
109,Bagamanoc,"38,0","10,4","31,5","44,5",2009
110,Baganga,"44,0","10,5","36,4","51,6",2009
111,Baggao,"22,6","8,6","19,4","25,8",2009
112,Bago,"20,7","14,5","15,8","25,7",2009
113,Baguio,"2,4","31,3","1,2","3,7",2009
114,Bagulin,"35,1","10,2","29,2","41,0",2009
115,Bagumbayan,"46,9","9,5","39,6","54,3",2009
116,Bais,"37,2","8,1","32,3","42,2",2009
117,Bakun,"53,7","17,9","37,9","69,4",2009
118,Balabac,"44,2","18,0","31,1","57,3",2009
119,Balabagan,"34,4","13,6","26,8","42,1",2009
120,Balagtas,"5,5","33,9","2,4","8,5",2009
121,Balamban,"37,6","9,2","31,9","43,3",2009
122,Balanga,"5,9","21,1","3,8","7,9",2009
123,Balangiga,"44,2","10,9","36,2","52,1",2009
124,Balangkayan,"48,6","10,6","40,2","57,0",2009
125,Balaoan,"26,6","8,2","23,0","30,2",2009
126,Balasan,"30,4","12,9","24,0","36,9",2009
127,Balatan,"50,0","8,1","43,3","56,6",2009
128,Balayan,"14,1","9,0","12,0","16,1",2009
129,Balbalan,"30,1","19,1","20,6","39,5",2009
130,Baleno,"39,7","8,7","34,0","45,4",2009
131,Baler,"9,6","23,4","5,9","13,2",2009
132,Balete (AK),"52,7","9,5","44,5","60,9",2009
133,Balete (BS),"17,2","16,2","12,6","21,8",2009
134,Baliangao,"37,7","10,6","31,1","44,3",2009
135,Baliguian,"75,3","6,5","67,3","83,3",2009
136,Balilihan,"51,9","5,5","47,1","56,6",2009
137,Balindong,"42,9","16,3","31,4","54,4",2009
138,Balingasag,"51,2","5,2","46,8","55,6",2009
139,Balingoan,"46,4","11,9","37,3","55,4",2009
140,Baliwag,"5,7","22,6","3,6","7,8",2009
141,Ballesteros,"22,7","11,1","18,5","26,9",2009
142,Baloi,"48,3","8,0","42,0","54,7",2009
143,Balud,"43,1","8,7","36,9","49,2",2009
144,Balungao,"21,4","10,0","17,9","24,9",2009
145,Bamban,"10,6","32,0","5,0","16,2",2009
146,Bambang,"11,3","13,6","8,8","13,8",2009
147,Banate,"19,8","16,6","14,4","25,2",2009
148,Banaue,"20,9","16,3","15,3","26,5",2009
149,Banaybanay,"32,5","13,6","25,2","39,8",2009
150,Banayoyo,"20,9","12,6","16,6","25,2",2009
151,Banga (AK),"39,6","7,4","34,8","44,4",2009
152,Banga (SC),"31,3","11,4","25,4","37,1",2009
153,Bangar,"27,9","11,9","22,4","33,4",2009
154,Bangued,"16,8","12,7","13,2","20,3",2009
155,Bangui,"12,6","13,6","9,2","16,0",2009
156,Bani,"21,0","5,3","19,1","22,8",2009
157,Banisilan,"43,8","10,2","36,4","51,1",2009
158,Banna,"17,8","12,2","14,2","21,4",2009
159,Bansalan,"21,3","14,6","16,2","26,5",2009
160,Bansud,"39,0","14,4","29,8","48,2",2009
161,Bantay,"16,4","11,3","13,4","19,5",2009
162,Bantayan Island,"55,1","5,5","50,2","60,1",2009
163,Banton,"38,0","15,6","28,2","47,7",2009
164,Baras (CT),"39,0","7,0","34,5","43,5",2009
165,Baras (RL),"11,4","24,8","6,8","16,1",2009
166,Barbaza,"46,3","7,7","40,4","52,1",2009
167,Barcelona,"39,1","7,9","34,0","44,1",2009
168,Barili,"40,7","6,5","36,3","45,0",2009
169,Barira,"39,9","13,2","31,2","48,6",2009
170,Barlig,"27,4","30,4","13,7","41,1",2009
171,Barobo,"45,7","9,6","38,4","52,9",2009
172,Barotac Nuevo,"15,9","15,9","11,7","20,1",2009
173,Barotac Viejo,"26,2","14,5","20,0","32,5",2009
174,Baroy,"47,0","8,5","40,4","53,6",2009
175,Barugo,"36,6","7,6","32,0","41,2",2009
176,Basay,"45,8","12,6","36,3","55,3",2009
177,Basco,"5,1","36,8","2,0","8,2",2009
178,Basey,"39,1","6,7","34,7","43,4",2009
179,Basilisa,"55,7","7,3","49,0","62,4",2009
180,Basista,"24,6","5,0","22,6","26,6",2009
181,Basud (CN),"38,3","7,4","33,6","42,9",2009
182,Batac,"15,3","9,6","12,6","17,9",2009
183,Batad,"33,1","14,3","25,3","40,9",2009
184,Batan,"45,7","9,2","38,8","52,6",2009
185,Batangas,"7,1","9,7","6,0","8,3",2009
186,Bataraza,"27,5","16,2","20,2","34,8",2009
187,Bato (CS),"40,1","7,1","35,4","44,8",2009
188,Bato (CT),"30,9","8,6","26,5","35,3",2009
189,Bato (LE),"36,4","7,5","31,9","40,9",2009
190,Batuan (BL),"46,8","7,3","41,2","52,5",2009
191,Batuan (MS),"37,0","11,4","30,1","44,0",2009
192,Bauan,"2,7","24,4","1,6","3,8",2009
193,Bauang,"20,3","10,7","16,8","23,9",2009
194,Bauko,"34,4","22,7","21,6","47,2",2009
195,Baungon,"49,1","9,7","41,3","56,9",2009
196,Bautista,"23,4","9,4","19,8","27,0",2009
197,Bay,"2,8","36,5","1,1","4,4",2009
198,Bayabas,"39,4","13,2","30,9","48,0",2009
199,Bayambang,"24,2","7,9","21,0","27,3",2009
200,Bayang,"33,9","14,5","25,8","42,0",2009
201,Bayawan,"42,6","7,7","37,2","48,0",2009
202,Baybay,"31,0","5,4","28,3","33,7",2009
203,Bayog,"43,6","14,0","33,6","53,6",2009
204,Bayombong,"8,6","16,7","6,3","11,0",2009
205,Bayugan,"48,4","6,3","43,4","53,4",2009
206,Belison,"25,8","19,6","17,5","34,2",2009
207,Benito Soliven,"25,4","11,3","20,7","30,1",2009
208,Besao,"26,9","28,7","14,2","39,6",2009
209,Bien Unido,"63,7","6,2","57,2","70,3",2009
210,Bilar,"47,9","7,4","42,1","53,7",2009
211,Biliran,"33,2","12,7","26,3","40,1",2009
212,Binalbagan,"28,9","15,1","21,7","36,1",2009
213,Binalonan,"14,8","9,7","12,4","17,2",2009
214,Binangonan,"4,0","19,5","2,7","5,3",2009
215,Bindoy,"59,9","6,2","53,8","66,0",2009
216,Bingawan,"26,8","20,7","17,7","35,9",2009
217,Binidayan,"36,8","15,5","27,4","46,2",2009
218,Binmaley,"17,5","9,6","14,8","20,3",2009
219,Binuangan,"52,7","12,0","42,3","63,1",2009
220,Biri,"50,7","9,1","43,1","58,3",2009
221,Bislig,"34,2","14,3","26,1","42,2",2009
222,Binan,"1,7","43,1","0,5","2,9",2009
223,Boac,"26,5","8,6","22,8","30,3",2009
224,Bobon,"45,9","7,1","40,6","51,3",2009
225,Bocaue,"3,4","40,6","1,1","5,7",2009
226,Bogo,"37,0","8,5","31,8","42,1",2009
227,Bokod,"21,5","22,4","13,6","29,5",2009
228,Bolinao,"28,7","9,7","24,1","33,2",2009
229,Boliney,"50,6","18,9","34,9","66,2",2009
230,Boljoon,"48,6","9,0","41,4","55,8",2009
231,Bombon,"35,1","14,4","26,8","43,4",2009
232,Bongabon,"21,7","13,0","17,1","26,4",2009
233,Bongabong,"35,8","9,4","30,2","41,4",2009
234,Bongao,"27,7","15,0","20,8","34,5",2009
235,Bonifacio,"44,9","9,0","38,2","51,5",2009
236,Bontoc (MP),"16,7","29,4","8,6","24,8",2009
237,Bontoc (SL),"43,2","6,3","38,7","47,7",2009
238,Borbon,"43,7","7,8","38,1","49,3",2009
239,Borongan,"37,6","7,7","32,9","42,4",2009
240,Boston,"36,6","15,0","27,5","45,6",2009
241,Botolan,"17,4","14,0","13,4","21,4",2009
242,Braulio E. Dujali,"40,8","17,5","29,1","52,6",2009
243,Brooke's Point,"26,7","13,7","20,6","32,7",2009
244,Buadiposo-Buntong,"38,6","15,0","29,1","48,1",2009
245,Bubong,"42,6","16,5","31,0","54,1",2009
246,Bucay,"36,2","16,1","26,6","45,8",2009
247,Bucloc,"77,2","13,0","60,6","93,7",2009
248,Buenavista (AN),"38,0","8,5","32,7","43,2",2009
249,Buenavista (BL),"55,9","5,5","50,8","61,0",2009
250,Buenavista (GS),"23,9","10,4","19,8","28,0",2009
251,Buenavista (ME),"36,9","13,0","29,0","44,8",2009
252,Buenavista (QN),"34,9","6,5","31,2","38,6",2009
253,Bugallon,"24,8","7,6","21,6","27,9",2009
254,Bugasong,"39,7","8,3","34,2","45,1",2009
255,Buguey,"22,4","10,2","18,6","26,1",2009
256,Buguias,"42,0","19,2","28,7","55,2",2009
257,Buhi,"44,0","6,2","39,5","48,4",2009
258,Bula,"46,0","6,9","40,8","51,2",2009
259,Bulakan,"3,6","36,9","1,4","5,8",2009
260,Bulalacao,"51,5","12,3","41,1","61,9",2009
261,Bulan,"38,8","6,6","34,6","43,1",2009
262,Buldon,"53,4","12,9","42,0","64,7",2009
263,Buluan,"50,7","20,8","33,4","68,1",2009
264,Bulusan,"32,9","8,0","28,6","37,2",2009
265,Bunawan,"54,2","7,1","47,9","60,5",2009
266,Burauen,"33,3","5,6","30,2","36,4",2009
267,Burdeos,"39,3","9,6","33,1","45,5",2009
268,Burgos (IN),"16,8","23,5","8,1","25,6",2009
269,Burgos (IS),"26,5","12,2","21,2","31,8",2009
270,Burgos (IA),"18,2","18,1","12,8","23,6",2009
271,Burgos (LU),"26,2","10,6","21,6","30,8",2009
272,Burgos (PS),"28,7","9,8","24,1","33,3",2009
273,Burgos (SN),"53,2","11,2","43,4","63,0",2009
274,Buruanga,"47,0","9,5","39,7","54,4",2009
275,Bustos,"8,1","24,3","4,9","11,4",2009
276,Busuanga,"26,5","18,0","18,6","34,3",2009
277,Butig,"37,1","16,4","27,1","47,1",2009
278,Butuan,"27,6","6,3","24,7","30,4",2009
279,Buug,"40,2","13,5","31,3","49,1",2009
280,Caba,"25,2","7,2","22,2","28,2",2009
281,Cabadbaran,"28,4","9,6","23,9","32,9",2009
282,Cabagan,"16,6","11,0","13,6","19,5",2009
283,Cabanatuan,"10,9","9,9","9,1","12,7",2009
284,Cabangan,"21,2","12,5","16,9","25,6",2009
285,Cabanglasan,"45,2","11,4","36,7","53,7",2009
286,Cabarroguis,"11,8","19,5","8,0","15,5",2009
287,Cabatuan (IO),"15,2","13,1","11,9","18,5",2009
288,Cabatuan (IA),"12,7","16,8","9,2","16,3",2009
289,Cabiao,"15,2","16,4","11,1","19,3",2009
290,Cabucgayan,"35,2","11,5","28,6","41,9",2009
291,Cabugao,"20,7","11,4","16,8","24,5",2009
292,Cabusao,"46,1","12,0","37,0","55,2",2009
293,Cabuyao,"1,7","38,9","0,6","2,7",2009
294,Cadiz,"27,3","12,5","21,7","32,9",2009
295,Cagayancillo,"36,6","21,1","23,9","49,4",2009
296,Cagayan De Oro,"22,8","9,8","19,1","26,4",2009
297,Cagdianao,"55,6","9,2","47,2","64,0",2009
298,Cagwait,"39,4","12,3","31,4","47,4",2009
299,Caibiran,"38,3","10,3","31,8","44,8",2009
300,Cainta,"1,4","56,6","0,1","2,8",2009
301,Cajidiocan,"50,4","12,8","39,8","61,0",2009
302,Calabanga,"42,7","6,1","38,4","47,0",2009
303,Calaca,"17,8","9,4","15,1","20,6",2009
304,Calamba (LA),"2,0","25,9","1,2","2,9",2009
305,Calamba (MC),"41,4","7,9","36,0","46,8",2009
306,Calanasan,"32,9","21,4","21,3","44,4",2009
307,Calanogas,"53,9","18,6","37,4","70,4",2009
308,Calapan,"23,0","10,4","19,0","26,9",2009
309,Calape,"40,4","6,6","36,0","44,8",2009
310,Calasiao,"17,2","11,1","14,1","20,4",2009
311,Calatagan,"21,9","10,8","18,0","25,7",2009
312,Calatrava (NO),"39,1","8,7","33,5","44,7",2009
313,Calatrava (RN),"47,4","17,2","34,0","60,8",2009
314,Calauag,"25,8","6,8","22,9","28,6",2009
315,Calauan,"12,0","16,1","8,8","15,2",2009
316,Calayan,"27,7","14,9","20,9","34,4",2009
317,Calbayog,"38,7","4,9","35,6","41,8",2009
318,Calbiga,"39,0","7,6","34,2","43,9",2009
319,Calinog,"29,6","11,8","23,9","35,4",2009
320,Calintaan,"34,2","18,7","23,6","44,7",2009
321,Caloocan,"3,1","28,2","1,7","4,5",2009
322,Calubian,"36,2","6,7","32,2","40,2",2009
323,Calumpit,"6,4","22,8","4,0","8,8",2009
324,Caluya,"49,7","11,3","40,5","58,9",2009
325,Camalaniugan,"16,9","11,5","13,7","20,1",2009
326,Camalig,"38,7","5,8","35,0","42,3",2009
327,Camaligan,"29,4","13,5","22,9","35,9",2009
328,Camiling,"15,8","11,6","12,8","18,8",2009
329,Canaman,"32,4","8,5","27,9","37,0",2009
330,Can-Avid,"50,0","7,5","43,9","56,2",2009
331,Candaba,"17,7","15,3","13,2","22,1",2009
332,Candelaria (QN),"10,6","15,1","8,0","13,3",2009
333,Candelaria (ZA),"18,2","16,1","13,4","23,0",2009
334,Candijay,"52,3","5,8","47,3","57,3",2009
335,Candon,"17,8","11,0","14,5","21,0",2009
336,Candoni,"41,9","12,4","33,3","50,4",2009
337,Canlaon,"35,4","12,3","28,3","42,6",2009
338,Cantilan,"25,7","10,9","21,1","30,3",2009
339,Caoayan,"14,4","9,9","12,0","16,7",2009
340,Capalonga,"48,2","6,8","42,8","53,6",2009
341,Capas,"13,2","19,3","9,0","17,3",2009
342,Capoocan,"39,8","9,0","33,9","45,6",2009
343,Capul,"41,6","11,1","34,0","49,2",2009
344,Caraga,"58,0","7,0","51,3","64,7",2009
345,Caramoan,"53,5","5,4","48,7","58,3",2009
346,Caramoran,"49,7","7,8","43,3","56,0",2009
347,Carasi,"22,6","8,7","20,4","24,8",2009
348,Carcar,"27,2","13,1","21,3","33,1",2009
349,Cardona,"5,5","28,3","3,0","8,1",2009
350,Carigara,"32,1","6,9","28,5","35,8",2009
351,Carles,"46,8","11,1","38,2","55,3",2009
352,Carmen (AN),"40,6","12,7","32,1","49,1",2009
353,Carmen (BL),"55,2","5,9","49,8","60,5",2009
354,Carmen (CU),"31,4","10,2","26,1","36,6",2009
355,Carmen (NC),"50,4","11,2","41,1","59,7",2009
356,Carmen (DN),"28,0","12,5","22,3","33,8",2009
357,Carmen (SS),"34,6","14,9","26,1","43,1",2009
358,Carmona,"3,4","48,4","0,7","6,2",2009
359,Carranglan,"32,3","12,4","25,7","38,9",2009
360,Carrascal,"32,7","11,9","26,3","39,1",2009
361,Casiguran (AU),"19,7","17,5","14,0","25,4",2009
362,Casiguran (SO),"38,9","7,9","33,9","44,0",2009
363,Castilla,"44,4","6,8","39,4","49,4",2009
364,Castillejos,"12,5","21,1","8,1","16,8",2009
365,Cataingan,"41,5","6,6","36,9","46,0",2009
366,Catanauan,"27,8","7,1","24,6","31,1",2009
367,Catarman (CM),"58,4","7,4","51,3","65,5",2009
368,Catarman (NS),"43,4","5,8","39,3","47,5",2009
369,Catbalogan,"33,6","7,7","29,3","37,9",2009
370,Cateel,"53,5","8,9","45,7","61,3",2009
371,Catigbian,"51,3","6,7","45,6","56,9",2009
372,Catmon,"39,9","9,6","33,6","46,2",2009
373,Catubig,"52,8","5,6","47,9","57,7",2009
374,Cauayan (IA),"15,9","9,6","13,4","18,4",2009
375,Cauayan (NO),"55,2","8,6","47,4","62,9",2009
376,Cavinti,"11,5","16,5","8,4","14,6",2009
377,Cavite,"5,5","15,5","4,1","6,9",2009
378,Cawayan,"47,6","6,7","42,3","52,9",2009
379,Cebu,"13,9","10,7","11,5","16,4",2009
380,Cervantes,"24,5","14,6","18,6","30,3",2009
381,Clarin (BL),"39,2","8,4","33,8","44,6",2009
382,Clarin (MC),"38,8","7,6","33,9","43,6",2009
383,Claver,"49,8","9,5","42,0","57,6",2009
384,Claveria (CG),"15,1","12,1","12,1","18,1",2009
385,Claveria (MS),"46,7","8,8","39,9","53,4",2009
386,Claveria (MO),"57,1","6,0","51,4","62,7",2009
387,Columbio,"54,4","10,5","45,0","63,8",2009
388,Compostela (CU),"27,8","14,5","21,1","34,4",2009
389,Compostela (DDO),"26,5","17,7","18,8","34,3",2009
390,Concepcion (IO),"48,4","9,6","40,8","56,0",2009
391,Concepcion,"62,3","6,8","55,3","69,3",2009
392,Concepcion (RN),"41,9","11,6","33,9","49,9",2009
393,Concepcion (TC),"13,5","13,9","10,4","16,6",2009
394,Conner,"30,3","15,2","22,7","37,8",2009
395,Consolacion,"17,4","18,0","12,3","22,6",2009
396,Corcuera,"46,6","13,0","36,6","56,6",2009
397,Cordon,"16,3","12,4","13,0","19,6",2009
398,Cordova,"25,9","14,7","19,6","32,2",2009
399,Corella,"32,0","12,9","25,2","38,7",2009
400,Coron,"28,4","16,1","20,9","35,9",2009
401,Cortes (BL),"26,9","13,4","21,0","32,8",2009
402,Cortes (SS),"36,4","13,5","28,3","44,4",2009
403,Cotabato,,,,,2009
404,Cuartero,"27,3","17,3","19,5","35,0",2009
405,Cuenca,"9,9","16,5","7,2","12,6",2009
406,Culaba,"35,5","9,9","29,7","41,3",2009
407,Culasi,"37,2","8,6","31,9","42,5",2009
408,Culion,"28,5","16,3","20,8","36,1",2009
409,Currimao,"15,2","13,1","11,7","18,7",2009
410,Cuyapo,"27,2","8,9","23,3","31,2",2009
411,Cuyo,"20,4","17,2","14,6","26,1",2009
412,Daan Bantayan,"42,9","7,4","37,7","48,1",2009
413,Daet,"21,0","9,9","17,5","24,4",2009
414,Dagami,"35,0","5,8","31,7","38,3",2009
415,Dagohoy,"56,0","7,5","49,0","62,9",2009
416,Daguioman,"32,2","27,3","17,7","46,6",2009
417,Dagupan,"13,9","7,0","12,3","15,5",2009
418,Dalaguete,"55,6","5,4","50,7","60,5",2009
419,Damulog,"52,2","9,4","44,1","60,2",2009
420,Danao (BL),"62,1","6,4","55,5","68,6",2009
421,Danao (CU),"31,6","9,0","26,9","36,2",2009
422,Dangcagan,"39,9","11,9","32,0","47,7",2009
423,Danglas,"32,0","22,8","20,0","44,0",2009
424,Dao,"26,2","18,5","18,2","34,2",2009
425,Dapa,"52,2","7,1","46,1","58,4",2009
426,Dapitan,"40,0","11,3","32,6","47,5",2009
427,Daraga,"29,7","6,7","26,4","33,0",2009
428,Daram,"51,2","6,0","46,1","56,2",2009
429,Dasmarinas,"5,3","15,8","3,9","6,6",2009
430,Dasol,"25,3","9,6","21,3","29,3",2009
431,Datu Abdullah Sangki,"51,0","13,7","39,5","62,5",2009
432,Datu Anggal Midtimbang,"57,0","14,0","43,8","70,1",2009
433,Datu Blah Sinsuat,"48,7","13,0","38,2","59,1",2009
434,Datu Hoffer Ampatuan,"49,1","16,4","35,8","62,4",2009
435,Datu Odin Sinsuat,"45,0","10,0","37,6","52,4",2009
436,Datu Paglas,"48,4","10,8","39,8","57,0",2009
437,Datu Piang,"52,5","21,6","33,8","71,2",2009
438,Datu Salibo,"52,5","11,4","42,6","62,3",2009
439,Datu Saudi-Ampatuan,"43,4","18,3","30,3","56,5",2009
440,Datu Unsay,"47,1","21,1","30,7","63,4",2009
441,Dauin,"32,4","10,6","26,8","38,1",2009
442,Dauis,"30,1","12,1","24,1","36,1",2009
443,Davao,"13,2","9,4","11,2","15,3",2009
444,Del Carmen,"58,9","7,1","52,0","65,7",2009
445,Delfin Albano,"19,9","11,2","16,2","23,5",2009
446,Del Gallego,"52,4","6,6","46,8","58,1",2009
447,Diadi,"17,6","12,1","14,0","21,1",2009
448,Diffun,"17,5","10,6","14,4","20,5",2009
449,Digos,"18,8","13,9","14,5","23,0",2009
450,Dilasag,"19,2","20,4","12,7","25,6",2009
451,Dimasalang,"41,3","7,9","35,9","46,7",2009
452,Dimataling,"46,8","14,5","35,6","57,9",2009
453,Dimiao,"42,4","8,4","36,6","48,3",2009
454,Dinagat,"57,6","8,9","49,2","66,1",2009
455,Dinalungan,"25,6","19,2","17,5","33,7",2009
456,Dinalupihan,"11,7","16,2","8,6","14,9",2009
457,Dinapigue,"13,8","35,3","5,8","21,7",2009
458,Dinas,"43,1","11,6","34,8","51,4",2009
459,Dingalan,"14,5","28,8","7,6","21,3",2009
460,Dingle,"17,3","16,2","12,7","22,0",2009
461,Dingras,"16,3","9,8","11,9","20,6",2009
462,Dipaculao,"17,9","17,3","12,8","23,0",2009
463,Diplahan,"43,9","13,2","34,4","53,4",2009
464,Dipolog,"26,8","19,5","18,2","35,4",2009
465,Ditsaan-Ramain,"41,9","14,6","31,9","51,9",2009
466,Divilacan,"23,6","17,4","16,8","30,3",2009
467,Dolores (AA),"33,5","15,0","25,2","41,7",2009
468,Dolores (ES),"50,2","7,5","44,0","56,3",2009
469,Dolores (QN),"13,3","18,4","9,3","17,4",2009
470,Don Carlos,"42,0","7,9","36,5","47,4",2009
471,Don Marcelino,"66,5","8,1","57,7","75,4",2009
472,Donsol,"47,3","6,6","42,2","52,4",2009
473,Don Victoriano Chiongbian,"65,7","7,8","57,2","74,1",2009
474,Dona Remedios Trinidad,"35,2","15,4","26,3","44,1",2009
475,Duero,"51,7","6,2","46,4","57,0",2009
476,Duenas,"22,3","13,9","17,2","27,4",2009
477,Dulag,"33,6","6,9","29,7","37,4",2009
478,Dumaguete,"7,4","18,6","5,1","9,7",2009
479,Dumalag,"15,6","24,4","9,4","21,9",2009
480,Dumalinao,"38,8","13,3","30,3","47,2",2009
481,Dumalneg,"21,6","26,3","12,3","30,9",2009
482,Dumangas,"16,0","14,5","12,2","19,8",2009
483,Dumanjug,"47,6","6,6","42,5","52,8",2009
484,Dumaran,"41,6","13,8","32,1","51,0",2009
485,Dumarao,"26,7","16,7","19,4","34,0",2009
486,Dumingag,"42,8","10,7","35,3","50,3",2009
487,Dupax Del Norte,"11,4","21,6","7,4","15,4",2009
488,Dupax Del Sur,"15,4","16,4","11,2","19,6",2009
489,Echague,"15,2","9,2","12,9","17,5",2009
490,El Nido,"29,7","16,9","21,4","37,9",2009
491,El Salvador,"38,8","9,7","32,6","45,0",2009
